S.No,Timestamp,User_Id,Finle-Name,File-Format,Target-language,File-Size (KB)
331,19:11.6,root,VIBXPERT_II_Balancer_shortinstructions_LIT 53.103_042012_en,.pdf,Spanish,7068.167969
332,20:08.6,root,VIBXPERT_II_balancing_manual_LIT 53.202_052012_en,.pdf,Spanish,2995.913086
333,20:54.9,root,VIBXPERT_II_balancing_manual_LIT 53.202_052012_en,.pdf,French,2995.913086
334,21:06.0,root,IMG_20230416_212336_edit_127563121356055,.jpg,English,1373.029297
335,30:55.4,root,PARALIGN Step by Step PL,.docx,English,14.890625
336,31:09.9,root,eMaint questions#4,.pptx,English,277.8632813
337,49:23.4,root,Adobe Scan 8 Feb 2024 (1),.pdf,English,6408.979492
338,24:41.5,root,X24-Conference-Agenda-overview_2_24,.pdf,Japanese,306.9570313
339,53:35.8,root,GEO_CENTER_online_help_DOC13204_102017_en-(1),.pdf,Polish,16573.66895
340,24:46.5,root,FE11983_FRS_Präsentation_DE_01_2024,.pptx,Polish,10533.8916
341,17:45.7,root,SBD 1-Day Remote Full User X5 Task Library & PM Management Agenda (3),.pdf,Spanish,68.39453125
342,08:09.2,root,Reassign Tasks and Approvals after Termination,.pdf,French,402.1044922
343,08:48.7,root,Reassign Tasks and Approvals after Termination,.pdf,German,402.1044922
344,09:26.3,root,Reassign Tasks and Approvals after Termination,.pdf,Chinese(Simplified),402.1044922
345,10:12.0,root,Reassign Tasks and Approvals after Termination,.pdf,Dutch,402.1044922
346,10:46.0,root,Reassign Tasks and Approvals after Termination,.pdf,Polish,402.1044922
347,11:38.4,root,Reassign Tasks and Approvals after Termination,.pdf,Spanish,402.1044922
348,22:57.5,root,Rodrigo_Owner_Elus_FCAL_LATAM_6346359468112,.vtt,English,2.4296875
349,23:48.9,root,Rodrigo_Owner_Elus (1),.docx,English,14.64941406
350,23:46.0,root,Beschluss_ISF,.pdf,English,7841.954102
